Facility Name,Has Anerobic Digester,Sources,Electric Service Utility,Average Price (Cents/kWh),latitude,longitude
City of Williams Wastewater Treatment Facility,False,https://waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/colusa/r5-2024-0510_settle.pdf,"Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,39.157944439,-122.1525726
Ray Stoyer Water Recycling Facility,False,"https://padredam.org/130/Water-Recycling-Facility
https://www.waternewsnetwork.com/pioneering-water-recycling-facility-decommissioned-half-century-service/","San Diego Gas & Electric, Metropolitan Water District of So. Cal",,32.841604786,-116.961211876
Whittier Narrows Water Reclamation Plant,False,https://www.lacsd.org/services/wastewater-sewage/facilities/whittier-narrows-water-reclamation-plant,"Southern California Edison, Metropolitan Water District of So. Cal",,34.030204864,-118.067112156
Ellis Creek Water Recycling Facility (operated by the City of Petaluma),False,"https://cityofpetaluma.org/elliscreek/
https://www.waterboards.ca.gov/sanfranciscobay/board_decisions/adopted_orders/2021/R2-2021-0008.pdf","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.226833366,-122.58684268
City of Angels Wastewater Treatment Plant,False,"https://angelscamp.gov/public-works/
https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2206/15_npdes/15b_cityofangels/angels_cov.pdf",Pacific Gas & Electric Company,37.70,38.060365106,-120.539972959
Mineral Sanitation District Wastewater Treatment Plant,False,"https://tcpw.ca.gov/departments/mineral-sanitation-district/
https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/orders/r5-2015-0073.pdf",Pacific Gas & Electric Company,37.70,40.348338212,-121.623624425
Buena Vista Rancheria / Buena Vue Casino Wastewater Treatment Plant,False,"https://19january2021snapshot.epa.gov/npdes-permits/buena-vista-rancheria-buena-vue-casino-wastewater-treatment-plant-ione-ca-ca0049675_.html
https://aqualitywm.com/project/harrahs-northern-california-casino/",Pacific Gas & Electric Company,37.70,38.273185099,-120.910833043
Sonoma Valley County Sanitation District (SVCSD) Wastewater Treatment Plant,False,"https://www.sonomawater.org/svcsd
https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2012/12_0068_SVCSD_WDR.pdf","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.251887981,-122.441317275
Rio Cosumnes Correctional Center Wastewater Treatment Facility,False,"https://www.sacsewer.com/annual-report/2025/
https://www.spk.usace.army.mil/Portals/12/documents/regulatory/Delta%20Conveyance%20Project/2024-0029957-S7-001%20Delta%20Conveyance%20Project%20BiOp.pdf",Sacramento Municipal Utility District,16.62,38.469885076,-121.418743146
Carpinteria Sanitary District Wastewater Treatment Plant,False,"https://carpsan.com/services/wastewater-treatment/
https://carpsan.com/about-csd/history/",Southern California Edison,26.48,34.39317282,-119.515862425
City of Pismo Beach Wastewater Treatment Plant (WWTP),False,"https://www.pismobeach.org/DocumentCenter/View/54438/City-of-Pismo-Beach---Draft-Facilities-Element-082621-
https://www.centralcoastblue.com/about",Pacific Gas & Electric Company,37.70,35.141719125,-120.632882356
San Andreas Sanitary District Wastewater Treatment Plant,False,"https://sasanitary.org/2020-wastewater-plant-treatment-upgrade
https://sasanitary.org/virtual-plant-tour",Pacific Gas & Electric Company,37.70,38.203005109,-120.689062999
United Auburn Indian Community / Thunder Valley Casino Resort Wastewater Treatment Facility,False,"https://thundervalleyresort.com
https://www.waterboards.ca.gov/centralvalley/",Pacific Gas & Electric Company,37.70,38.839065116,-121.311743175
City of Calipatria Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2012/0030calipatria.pdf
https://www.calipatria.com/departments/public-works",Imperial Irrigation District,18.11,33.147536519,-115.545341378
Camarillo Wastewater Reclamation Plant,True,"https://www.waterboards.ca.gov/losangeles/board_decisions/tentative_orders/individual/npdes/camarillo/2008_0813/camarillo_revised_tso.pdf
https://www.thecamarilloacorn.com/articles/no-time-to-waste-with-citys-treatment-plant/","Southern California Edison, Metropolitan Water District of So. Cal",,34.194532828,-119.002679325
City of Watsonville Wastewater Treatment Facility,True,"https://www.cityofwatsonville.org/623/Wastewater-Division
https://www.epa.gov/chp/california-combined-heat-and-power-project-builder",Pacific Gas & Electric Company,37.70,36.889974915,-121.788163021
City of San Luis Obispo Water Resource Recovery Facility,True,"https://www.slocity.org/government/department-directory/utilities-department/wastewater/water-resource-recovery-facility
https://www.2g-energy.com/applications/wastewater-treatment-plants",Pacific Gas & Electric Company,37.70,35.256154838,-120.672922686
Fillmore Water Recycling Plant,False,"https://www.waterboards.ca.gov/rwqcb4/board_decisions/tentative_orders/individual/non-npdes/Fillmore_Water_Recycling_Plant/3_fillmore_revised_tentative_order.pdf
https://aecom.com/projects/fillmore-water-recycling-plant/",Southern California Edison,26.48,34.391204854,-118.926312329
Lincoln-Sewer Maintenance District 1 Wastewater Authority (LiSWA) Wastewater Treatment Facility,False,"https://www.liswa-ca.gov/
https://www.lincolnca.gov/living-here/wastewater/lincoln-sewer-maintenance-district-1-wastewater-authority-liswa/",Pacific Gas & Electric Company,37.70,38.964755142,-121.107652159
Turlock Regional Water Quality Control Facility,True,"https://ci.turlock.ca.us/watersewergarbageservice/sewerwastewater/wastewaterplanttours/
https://www.overaa.com/projects/turlock-water-quality-control-facility/",Turlock Irrigation District,14.27,37.482644031,-120.867373944
Malaga County Water District Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/fresno/r5-2020-0001_wdr.pdf
https://www.waterboards.ca.gov/public_notices/petitions/water_quality/docs/petitions/a2356petitionpart3.pdf",Pacific Gas & Electric Company,37.70,36.678674123,-119.745699757
Paradise Cove Wastewater Treatment Plant,False,"https://www.sani5.org/paradise-cove-wastewater-treatment-plant
https://www.sani5.org/wastewater-treatment-plant-information",Pacific Gas & Electric Company,37.70,37.895994951,-122.469153237
Big Bear Area Regional Wastewater Agency (BBARWA),False,"https://www.bbarwa.org/operations
https://bbarwa.specialdistrict.org/advanced-water-purification-process",Bear Valley Electric Service,29.12,34.265628839,-116.81499094
San Joaquin County Service Area No. 31 (Flag City) Wastewater Treatment Plant,False,"https://www.sjgov.org/department/pwk/special-districts-home/csa/county-service-area-31
https://records.lodi.gov/WebLink/DocView.aspx?id=10108&dbid=0&repo=CITY-RECORDS",Pacific Gas & Electric Company,37.70,37.954906661,-121.288483854
