Facility Name,Has Anerobic Digester,Sources,Electric Service Utility,Average Price (Cents/kWh),latitude,longitude
Treasure Island Water Resource Recovery Facility (WRRFP),False,"https://www.sfpuc.gov/construction-contracts/construction-projects/treasure-island
https://www.pcl.com/us/en/our-work/treasure-island-water-resource-recovery-facility",City and County of San Francisco - Hetch Hetchy Water and Power,,37.830238952,-122.370924214
Mendocino Community Services District (MCSD) Wastewater Treatment Plant,False,"https://www.mendocinocsd.org/wastewater-treatment
https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2012/12_0020_MendocinoCSD_WDR.pdf",Pacific Gas & Electric Company,37.70,39.304974958,-123.806183608
Heber Public Utility District (HPUD) Wastewater Treatment Plant,False,https://www.heber.ca.gov/wastewater-collection-treatment,Imperial Irrigation District,18.11,32.736434847,-115.525121615
City of Modesto Wastewater Treatment Facilities,True,https://www.modestogov.com/1920/Primary-Treatment-Facility---Sutter,Modesto Irrigation District,17.42,37.613727206,-121.011790668
Loleta Community Services District Wastewater Treatment Facility,False,https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2020/20_0003_Loleta_TSO.pdf,Pacific Gas & Electric Company,37.70,40.638305015,-124.225543853
East Bay Municipal Utility District (EBMUD) Main Wastewater Treatment Plant,True,"https://www.ebmud.com/download_file/47554/661
https://www.ebmud.com/wastewater",Alameda Power & Telecom,,37.747444956,-122.236103185
City of Patterson Water Quality Control Facility (WQCF),False,"https://pattersonca.gov/201/Water-Quality-Control-Facility
https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2306/13_uncon_npdes/13e_patterson/r5-2018-0070-001.pdf",Turlock Irrigation District,14.27,37.498812016,-121.092968981
City of Beaumont Wastewater Treatment Plant,False,"https://www.beaumontca.gov/1126/Wastewater
https://www.aquaeng.com/beaumont-8203wastewater-treatment-facility-expansion.html",Southern California Edison,26.48,33.926250754,-116.992564224
Healdsburg Wastewater Treatment and Reclamation Facility,False,"https://healdsburg.gov/444/Wastewater
https://www.hometownconnections.com/news/unique-sewage-treatment-plant/","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.584620897,-122.864297798
City of St. Helena Wastewater Treatment and Reclamation Plant,False,https://www.waterboards.ca.gov/rwqcb2/board_info/agendas/2021/April/5a_final_to.pdf,Pacific Gas & Electric Company,37.70,38.500505002,-122.440874305
City of Auburn Wastewater Treatment Plant,False,https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/rescissions/r5-2022-0054_rec.pdf,Pacific Gas & Electric Company,37.70,38.896005135,-121.115624151
Carbon Canyon Water Recycling Facility (CCWRF),False,"https://www.ieua.org/carbon-canyon-water-recycling-facility/
https://www.ieua.org/regional-water-recycling-plant-no-2/","Southern California Edison, Metropolitan Water District of So. Cal",,33.98165488,-117.693332088
Lompoc Regional Wastewater Reclamation Plant,False,"https://www.cityoflompoc.com/government/departments/utilities/wastewater/faqs
https://www.cityoflompoc.com/government/departments/utilities/wastewater",City of Lompoc Electric Division,21.94,34.661084791,-120.481362603
Malibu Mesa Water Reclamation Plant,False,"https://www.waterboards.ca.gov/rwqcb4/board_decisions/tentative_orders/industrial/npdes/LACountyPW/Malibu%20Mesa%20WRP%20Public%20Notice%20for%20Posting%2010-5-12%20Final.pdf
https://ceqanet.lci.ca.gov/2021040474/3","Southern California Edison, Metropolitan Water District of So. Cal",,34.035444829,-118.710002264
Lake of the Pines Wastewater Treatment Plant,False,https://www.nidwater.com/lake-of-the-pines-treatment-plant,Pacific Gas & Electric Company,37.70,39.03447715,-121.080041163
Pinole-Hercules Water Pollution Control Plant,True,"https://www.pinole.gov/wastewater-treatment-plant/wastewater-collection-treatment/
https://www.herculesca.gov/government/engineering-public-works/sanitary-sewer/sewer-system-rates",Pacific Gas & Electric Company,37.70,38.009607975,-122.26670222
New Cuyama Community Services District Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/centralcoast/board_decisions/adopted_orders/2012/r3-2012-0010_newcuyama_wwtf_wd_permit.pdf
https://www.countyofsb.org/1614/New-Cuyama-Community-Services-District",Pacific Gas & Electric Company,37.70,34.953835742,-119.702164734
Susanville Sanitary District Wastewater Treatment Plant,False,"https://susanvillesanitarydistrict.com/about_us.aspx
https://klarifi.io/facilities/california/susanville-sd-wwtp-1400010889",Lassen Municipal Utility District,23.51,40.4143453,-120.629686277
Copper Cove Wastewater Treatment Plant and Reclamation Facility,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/calaveras/r5-2010-0070-01.pdf
https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/calaveras/r5-2018-0021.pdf",Pacific Gas & Electric Company,37.70,37.908385088,-120.616062953
Mariposa Public Utility District (MPUD) Wastewater Treatment Facility,False,https://www.mariposapud.org/wastewater,Pacific Gas & Electric Company,37.70,37.479045096,-119.959852799
City of Manteca Wastewater Quality Control Facility (WQCF),True,"https://www.manteca.gov/departments/public-works/waste-to-fuel-program
https://www.bskassociates.com/manteca-digester-improvements/",Pacific Gas & Electric Company,37.70,37.79578303,-121.260652041
Santa Paula Water Recycling Facility,False,https://spcity.org/248/Wastewater,Southern California Edison,26.48,34.335546914,-119.083219387
Chester Wastewater Treatment Facility,False,"https://www.chesterpud.org/wastewater-services
https://www.chesterpud.org/",Pacific Gas & Electric Company,37.70,40.299645242,-121.227123356
Hale Avenue Resource Recovery Facility,True,"https://www.2g-energy.com/projects/hale-avenue-resource-reclamation-facility
https://www.escondido.gov/194/Hale-Avenue-Resource-Recovery-Facility-H","San Diego Gas & Electric, Metropolitan Water District of So. Cal",,33.105944811,-117.114071921
Lee Lake Water District Water Reclamation Facility,False,https://www.temescalvwd.com/,"Southern California Edison, Metropolitan Water District of So. Cal",,33.795035869,-117.49946904
City of Exeter Wastewater Treatment Plant (WWTP),False,"https://cityofexeter.ca.gov/departments/public-works/wastewater-division/
https://cityofexeter.ca.gov/wp-content/uploads/2019/10/Item1_2019_Water-Sewer_Rate_Increase_Information_PH_12-10-19-1.pdf","Southern California Edison, Eastside Power Authority",,36.274132034,-119.161790542
City of Modesto Water Quality Control Facility (WQCF),True,"https://www.modestogov.com/1920/Primary-Treatment-Facility---Sutter
https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/stanislaus/r5-2022-0034.pdf",Modesto Irrigation District,17.42,37.613727206,-121.011790668
City of Corning Wastewater Treatment Plant,False,https://www.corning.org/waste-water/,Pacific Gas & Electric Company,37.70,39.916116139,-122.104457438
Dry Creek Rancheria Wastewater Treatment Plant,False,"https://www.epa.gov/npdes-permits/CA0005241
https://drycreekrancheria.com/environment/","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.695954986,-122.858263391
Portola Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/plumas/r5-2018-0088.pdf
https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2404/11_uncon_npdes/11d_cityofportola/portola_wwtp_noph.pdf",Not Applicable,,39.805485263,-120.471503168
El Dorado Hills Wastewater Treatment Plant,False,"https://www.eid.org/about-us/wastewater
https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/orders/r5-2016-0004-01.pdf",Pacific Gas & Electric Company,37.70,38.635975118,-121.06137311
City of Vacaville Easterly Wastewater Treatment Plant,True,"https://storymaps.arcgis.com/stories/443fcdb602ae439fb0108ed074dde796
https://www.cityofvacaville.gov/government/utilities/sewer/wastewater-treatment",Southern California Edison,26.48,34.243081143,-117.278018299
City of Brentwood Wastewater Treatment Plant,False,https://www.brentwoodca.gov/government/public-works/sewer-wastewater,Pacific Gas & Electric Company,37.70,37.958115014,-121.686667885
Laguna Treatment Plant,True,"https://www.srcity.org/1052/Water-Reuse
https://www.srcity.org/1056/Treatment-Process",Southern California Edison,26.48,33.533171856,-117.189344967
City of Livermore Water Reclamation Plant,True,"https://www.livermoreca.gov/departments/public-works/water-resources/wastewater-service/livermore-water-reclamation-plant
https://www.livermoreca.gov/departments/community-development/engineering/captial-improvement-plan-projects/wastewater-projects",Pacific Gas & Electric Company,37.70,37.689448982,-121.807513113
City of West Sacramento Wastewater Treatment / Collection System,False,"https://www.waterboards.ca.gov/press_room/press_releases/2023/pr05192023-swb-regional-san.html
https://www.sacsewer.com/",Pacific Gas & Electric Company,37.70,38.562505076,-121.523624173
City of Mountain House Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/san_joaquin/r5-2023-0033-01.pdf
https://percwater.com/project/mountain-house/","Modesto Irrigation District, Power and Water Resource Pooling Authority",,37.780345011,-121.517803079
City of Holtville Municipal Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/2009/0016holtville.pdf
https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/1995/95_043.pdf",Imperial Irrigation District,18.11,32.825739554,-115.429760374
Coachella Sanitary District Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/2020/0008coachella_sanitary_district_npdes.pdf
https://www.coachella.org/departments/public-works-department/sanitation-division",Imperial Irrigation District,18.11,33.656159927,-116.144459793
Novato Sanitary District Wastewater Treatment Plant,True,"https://novatosan.com/services/advanced-wastewater-treatment/
https://novatosan.com/about/100-years-of-service/",Pacific Gas & Electric Company,37.70,38.100304961,-122.554413274
Sheridan Wastewater Treatment Plant,False,"https://www.placer.ca.gov/DocumentCenter/View/2578/Volume-7---Placer-CSA-28---Zone-6--Sheridan-PDF
https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/PublicAttachmentRetriever?parentID=1403616&attachmentID=251043&attType=4",Pacific Gas & Electric Company,37.70,38.980025124,-121.372073202
Donald C. Tillman Water Reclamation Plant,False,"https://sanitation.lacity.gov/facilities/donald-c-tillman-water-reclamation-plant
https://thejapanesegarden.com/about-us/the-tillman-plant/","Los Angeles Department of Water & Power, Metropolitan Water District of So. Cal",,34.180094857,-118.482732238
Big Basin Redwoods State Park Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralcoast/board_info/agendas/2011/december/Item_18/18_stfrpt.pdf
https://ceqanet.lci.ca.gov/2004028369",Pacific Gas & Electric Company,37.70,37.171955487,-122.222063347
 City of Rio Dell Wastewater Treatment Facility ,False,"https://www.cityofriodell.ca.gov/263/How-It-Works
https://www.waterboards.ca.gov/northcoast/board_info/board_meetings/10_2023/pdf/2/2023_22_riodell_permit_final.pdf",Pacific Gas & Electric Company,37.70,40.497525017,-124.095574117
